epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,2002.51,1.38782,1.96707,1.638,0.57231,0.39198,0.43401,0.27489,1.59038,2.14852,1.96767,0.000693305,0.000693305,0.000693305
120,2018.98,1.4152,1.92219,1.66227,0.47335,0.42057,0.38884,0.24385,1.50299,2.21166,1.90653,0.000685054,0.000685054,0.000685054
121,2035.89,1.41906,1.95646,1.69002,0.47334,0.41341,0.40668,0.24844,1.55784,2.10938,1.98965,0.000676802,0.000676802,0.000676802
122,2053.24,1.41601,1.85867,1.6673,0.48616,0.39964,0.38979,0.24875,1.57155,2.17432,1.96906,0.00066855,0.00066855,0.00066855
123,2069.38,1.38098,1.87012,1.64625,0.50496,0.40732,0.40773,0.24715,1.58128,2.1168,1.98158,0.000660299,0.000660299,0.000660299
124,2085.46,1.34464,1.78289,1.60871,0.4526,0.46122,0.39498,0.24491,1.54037,2.16361,1.93746,0.000652047,0.000652047,0.000652047
125,2101.51,1.37823,1.87287,1.66591,0.54206,0.39341,0.42345,0.26089,1.56522,2.04559,2.02301,0.000643795,0.000643795,0.000643795
126,2117.5,1.34208,1.78355,1.62875,0.47575,0.42128,0.42806,0.25482,1.51878,2.09058,1.98783,0.000635544,0.000635544,0.000635544
127,2133.7,1.35682,1.7456,1.61342,0.47236,0.41144,0.39712,0.24446,1.5953,2.27981,1.95948,0.000627292,0.000627292,0.000627292
128,2151.44,1.34414,1.772,1.61053,0.53422,0.35732,0.38632,0.2355,1.57562,2.1416,2.00733,0.00061904,0.00061904,0.00061904
129,2167.28,1.32238,1.70584,1.60664,0.60333,0.35512,0.41479,0.26133,1.60264,2.16325,1.98395,0.000610789,0.000610789,0.000610789
130,2183.99,1.31481,1.74469,1.5802,0.40531,0.46333,0.40719,0.25774,1.54515,2.11731,1.95276,0.000602537,0.000602537,0.000602537
131,2200.21,1.32132,1.78455,1.61909,0.44871,0.41037,0.39408,0.25332,1.62109,2.31385,2.0828,0.000594286,0.000594286,0.000594286
132,2216.46,1.41314,1.85025,1.66419,0.53661,0.37917,0.42075,0.25224,1.57638,2.08594,1.99342,0.000586034,0.000586034,0.000586034
133,2232.89,1.28947,1.66436,1.57565,0.48712,0.44171,0.42504,0.25968,1.52474,2.05801,1.9384,0.000577782,0.000577782,0.000577782
134,2249.72,1.3547,1.81078,1.63158,0.48504,0.4378,0.44,0.2838,1.48718,2.07148,1.91875,0.000569531,0.000569531,0.000569531
135,2266.53,1.32124,1.76103,1.58078,0.44391,0.49951,0.41839,0.26414,1.53444,2.23068,1.93002,0.000561279,0.000561279,0.000561279
136,2283.81,1.30032,1.73916,1.57372,0.40973,0.4639,0.41942,0.25586,1.52624,2.05413,1.96889,0.000553027,0.000553027,0.000553027
137,2300.54,1.30085,1.74198,1.57019,0.55155,0.38561,0.42107,0.26187,1.575,2.07695,1.96664,0.000544776,0.000544776,0.000544776
138,2317.3,1.33151,1.69286,1.58406,0.55177,0.37951,0.40965,0.25514,1.58164,2.17928,1.9949,0.000536524,0.000536524,0.000536524
139,2336.96,1.28474,1.68168,1.5601,0.48479,0.4339,0.40797,0.26093,1.51618,2.23587,1.96746,0.000528272,0.000528272,0.000528272
140,2355.35,1.31596,1.71183,1.57218,0.52457,0.39732,0.42837,0.26816,1.55265,2.12634,1.96699,0.000520021,0.000520021,0.000520021
141,2371.93,1.23042,1.92056,1.52865,0.543,0.40625,0.41253,0.26055,1.55016,2.0965,2.01216,0.000511769,0.000511769,0.000511769
142,2388.14,1.27344,1.66691,1.56572,0.52894,0.38576,0.4083,0.25197,1.57985,2.0582,1.98182,0.000503517,0.000503517,0.000503517
143,2405.06,1.28396,1.6145,1.57271,0.55977,0.37763,0.41014,0.26761,1.55505,2.10203,1.97033,0.000495266,0.000495266,0.000495266
